userID,firstName,lastName,email,phoneNumber,userType
3983320,Rickert,Shillabear,rshillabear0@arstechnica.com,821-193-6912,Employee - EXO
1652350,Prudy,Bankes,pbankes1@hp.com,883-198-2894,Customer
7366970,Mort,Grumble,mgrumble2@zdnet.com,427-165-1452,Customer
3611184,Lyndsay,Rehme,lrehme3@zdnet.com,745-150-3489,Customer
2906608,Marcel,Heims,mheims4@deviantart.com,544-941-6276,Customer
4734710,Darren,Shinton,dshinton5@google.com.au,229-569-7470,Customer
6740300,Murvyn,Vedikhov,mvedikhov6@hatena.ne.jp,499-141-9350,Customer
1429834,Brett,Southam,bsoutham7@columbia.edu,357-714-8554,Employee - EXO
8584398,Cobb,Leehane,cleehane8@istockphoto.com,878-488-9245,Customer
5981121,Rivkah,McGuiney,rmcguiney9@xing.com,704-634-3140,Customer
7489707,Peirce,Bracchi,pbracchia@java.com,270-105-1779,Customer
8498973,Frederik,Levison,flevisonb@google.co.jp,306-825-8766,Customer
8759962,Phyllida,Fores,pforesc@ox.ac.uk,862-928-3064,Customer
2402143,Joannes,Postan,jpostand@illinois.edu,193-862-7981,Customer
1572042,Taddeusz,Ailmer,tailmere@desdev.cn,458-608-3034,Customer
7803048,Selene,Hill,shillf@wikimedia.org,315-779-8209,Customer
1788376,Tomas,Ebbs,tebbsg@csmonitor.com,401-701-5819,Customer
5187425,Shurlocke,Van de Vlies,svandevliesh@cyberchimps.com,356-598-2802,Customer
9053071,Bradley,Sporgeon,bsporgeoni@bbb.org,665-539-8788,Customer
9590444,Grove,Salomon,gsalomonj@mediafire.com,448-263-2487,Customer
2688712,Riley,Slucock,rslucockk@bbb.org,162-533-7958,Customer
7652259,Berkie,Blaszczak,bblaszczakl@com.com,353-776-4486,Customer
7532828,Tanhya,Squibbs,tsquibbsm@edublogs.org,229-974-7360,Customer
9558342,Irita,Sproule,isproulen@rambler.ru,586-769-1498,Customer
9637159,Inglis,Pail,ipailo@si.edu,267-976-3770,Customer
3127439,Eberhard,Pennacci,epennaccip@comcast.net,370-242-9401,Customer
9243350,Marty,Balas,mbalasq@g.co,710-494-3586,Customer
7885753,Babbie,Asgodby,basgodbyr@wisc.edu,426-512-4845,Customer
3627128,Chris,Connelly,cconnellys@marriott.com,883-910-8916,Customer
5167549,Olva,Leadbitter,oleadbittert@ibm.com,971-950-6364,Customer
1423543,Helene,Pampling,hpamplingu@sohu.com,522-992-3525,Customer
3183578,John,Simpson,jsimpsonv@upenn.edu,246-744-3035,Customer
1561710,Blondelle,Ummfrey,bummfreyw@timesonline.co.uk,692-858-0748,Customer
2481537,Rouvin,Colvin,rcolvinx@sitemeter.com,369-525-8894,Customer
6542710,Kameko,Ferber,kferbery@cargocollective.com,389-784-2958,Customer
2734761,Reggy,Erley,rerleyz@sciencedirect.com,402-580-5675,Customer
4675460,Gabie,Wilderspoon,gwilderspoon10@google.fr,681-528-3492,Customer
9539409,Andrey,Ayce,aayce11@parallels.com,575-505-0015,Customer
8700627,Noland,Digby,ndigby12@youtube.com,711-280-3068,Customer
5823171,Nicolle,Tollmache,ntollmache13@newyorker.com,624-583-9126,Customer
9917533,Britni,Side,bside14@blogtalkradio.com,242-778-4364,Customer
1710227,Gilbertine,Buckoke,gbuckoke15@businessweek.com,844-131-7007,Customer
2898344,Lincoln,Hawkslee,lhawkslee16@sciencedaily.com,433-864-1545,Customer
3501522,Zollie,Armall,zarmall17@infoseek.co.jp,490-621-0866,Customer
7608823,Emerson,Dupre,edupre18@simplemachines.org,689-717-3893,Customer
2312172,Roby,Cardenas,rcardenas19@about.com,469-488-2629,Customer
4087209,Marika,Joret,mjoret1a@creativecommons.org,499-977-6172,Customer
2887214,Schuyler,McRavey,smcravey1b@marriott.com,498-761-5006,Customer
8063188,Stu,MacDonnell,smacdonnell1c@nbcnews.com,338-786-0197,Customer
7463105,Artair,William,awilliam1d@github.io,353-171-0148,Customer
4237925,Stavro,Mayler,smayler1e@usatoday.com,445-585-9561,Customer
3998009,Germayne,Baison,gbaison1f@uiuc.edu,741-301-0019,Customer
1190618,Tiffanie,Baumber,tbaumber1g@alibaba.com,335-282-5634,Customer
3143996,Maximilien,Jemison,mjemison1h@aol.com,267-334-5140,Customer
7486290,Conni,Mazillius,cmazillius1i@state.gov,680-653-9587,Customer
9058481,Yehudi,Dorkens,ydorkens1j@myspace.com,313-287-9615,Customer
9820087,Boone,Wernher,bwernher1k@mail.ru,864-853-4865,Customer
